name,area,pop2005,lon,lat
Taiwan,0,0,120.946,23.754
Tajikistan,13996,6550213,69.42,38.665
Thailand,51089,63002911,100.844,15.7
The Bahamas,1001,323295,-78.014,24.628
Togo,5439,6238572,1.081,8.799
Trinidad and Tobago,513,1323722,-61.253,10.468
Tunisia,15536,10104685,9.596,35.383
Turkey,76963,72969723,35.179,39.061
Turkmenistan,46993,4833266,59.384,39.122
Uganda,19710,28947181,32.386,1.28
Ukraine,57935,46917544,31.388,49.016
United Arab Emirates,8360,4104291,54.163,23.549
United Kingdom,24193,60244834,-1.6,53.0
United Republic of Tanzania,88359,38477873,34.823,-6.27
United States of America,915896,299846449,-98.606,39.622
Uruguay,17502,3325727,-56.012,-32.8
Uzbekistan,42540,26593123,63.17,41.75
Vanuatu,1219,215366,166.899,-15.376
Venezuela,88205,26725573,-66.166,7.125
Vietnam,32549,85028643,105.314,21.491
Western Sahara,0,440428,-13.706,24.554
Yemen,52797,21095679,48.355,15.807
Zambia,74339,11478317,26.32,-14.614
Zimbabwe,38685,13119679,29.872,-19.0
